wallet,token_symbol,spender,block_time,tx_hash,amount_raw,is_revoke,gas_used,gas_cost_eth,max_priority_fee_per_gas,approval_type,outstanding,is_unlimited
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDC,0xc3d688b66703497daa19211eedff47f25384cdc3,2025-11-28 15:59:23+00:00,0xc6d97c17bfe508215f365b690eec25efd4d61aac128de1a66cb3bd8de4077d53,398800000,False,55570,3.343880027264e-05,500000000,exact,True,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDC,0xd9b2cb2fbad204fc548787ef56b918c845fcce40,2025-11-08 00:42:47+00:00,0xe51804ce8c7fe5d752bae24d8a51f5e00ac3a1233e3582b59c1c2f8d418b1844,900000000000,False,55570,0.00013163650742895,2000000000,exact,True,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0x000000000022d473030f116ddee9f6b43ac78ba3,2024-12-16 12:11:47+00:00,0x91e84a4286da27e807b7c3512948f712dc0a93e42d1cb758ac86b9baf8cd2cbb,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,48837,0.000713001209879061,2193503573,unlimited,True,True
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0x00000000009726632680fb29d3f7a9734e3010e2,2023-05-07 16:51:47+00:00,0x2fe1845eed24d02be811f6a811986585a5e2965d072280dc948a2f3b5441f48b,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,48837,0.007230399600256617,1500000000,unlimited,True,True
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0x111111125421ca6dc452d289314280a0f8842a65,2024-12-07 02:30:47+00:00,0x52a4b60c6908979cfb7981a24393cf1f473726cec352593337a992913de7f13e,0,True,26420,0.0003417412149318,1000000000,revocation,False,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0x1111111254eeb25477b68fb85ed929f73a960582,2024-12-07 02:30:47+00:00,0xf1ff1600b8d0ed9aba6793f5b8f9f7b2569fb3dd9e617a552023d0d7b94b01ce,0,True,26420,0.0003417412149318,1000000000,revocation,False,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0x25e9aca5951262241290841b6f863d59d37dc4f0,2023-12-22 03:03:47+00:00,0x64317e5e5a4122d61d614bc8f73d68d7cf0cef4e90b36f6ef6eb2edb3b822758,0,True,26420,0.000737889255282,100000000,revocation,False,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0x3ee18b2214aff97000d974cf647e7c347e8fa585,2023-03-07 04:46:59+00:00,0xe15bc3fa2d394162d94755883a4e1221c71191c50c143aef6cd0ae20e4334f9e,22814036575,False,48561,0.001031187125586108,500000000,exact,True,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0x3f5fa4ba2e595230c3e89543f404631429d0dd26,2023-12-22 03:03:59+00:00,0x51adf4cee2f4f3cf0a7e79b6b9a8d9320414f1ee9f3df615ecd5f6d63f872213,0,True,26420,0.00073095039609864,100000000,revocation,False,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0x69702cfd7dad8bccaa24d6b440159404aaa140f5,2023-12-22 03:03:47+00:00,0xd9b70e4aab66ca75d6287ffffa0823cba08da0b41ed0099d99a9939dd41630ea,0,True,26420,0.000737889255282,100000000,revocation,False,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0x6c96de32cea08842dcc4058c14d3aaad7fa41dee,2025-12-08 12:10:35+00:00,0x5728b9165c59486864c1aa7411d88eeb5968c5e9d3317687fad84bbe150d40e0,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,48897,4.0288262782491e-05,500000000,unlimited,True,True
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0xab02bf85a7a851b6a379ea3d5bd3b9b4f5dd8461,2025-10-30 01:59:23+00:00,0xf819ccd8c09115f0e36ec8bfbbec613236588215d49c465e6b3bc1d098544ae2,186282000000,False,48573,2.8727848611756e-05,500000000,exact,True,False
