wallet,token_symbol,spender,block_time,tx_hash,amount_raw,is_revoke,gas_used,gas_cost_eth,max_priority_fee_per_gas,approval_type,outstanding,is_unlimited
0x0007fcf5590179336c826a60c80976623c7bbc29,USDC,0x6a000f20005980200259b80c5102003040001068,2025-12-09 21:45:59+00:00,0x9d92063d71da795400eebf35d52fe2dd33664fcc58c36f8849c2d2ce9150b0b2,5007445005,False,38434,8.4592128522858e-05,2000000000,exact,True,False
0x0007fcf5590179336c826a60c80976623c7bbc29,USDC,0xbbbfd134e9b44bfb5123898ba36b01de7ab93d98,2025-08-11 04:39:59+00:00,0x410f6dc3ae2c825b72c0642a0a6f89e1ebff7cb37505f2a696af2f5116a3fc19,1611649866,False,38470,8.833819674404e-05,2000000000,exact,True,False
0x0007fcf5590179336c826a60c80976623c7bbc29,USDC,0xcf5540fffcdc3d510b18bfca6d2b9987b0772559,2025-12-10 20:02:35+00:00,0xc89794e6bc4b21b1efaa064087bde7ae32c61579e73163b5393f070f8d71bbbc,5007445005,False,38482,8.2611483863892e-05,2000000000,exact,True,False
0x0007fcf5590179336c826a60c80976623c7bbc29,USDT,0x000000000022d473030f116ddee9f6b43ac78ba3,2025-12-08 21:55:35+00:00,0xdc860338d28052da469649e5b41e900c7e2f013db62f65188711ce83d9f16963,5006471484,False,48513,0.000111649501746639,2000000000,exact,True,False
0x0007fcf5590179336c826a60c80976623c7bbc29,USDT,0x111111125421ca6dc452d289314280a0f8842a65,2025-11-17 19:36:35+00:00,0x19e0a70b2c9cdab53273e9af1fd8bdc9e0364a81b1846d926834aa0cd2bbb33b,3007720281,False,48561,0.000185287842906852,2000000000,exact,True,False
0x0007fcf5590179336c826a60c80976623c7bbc29,USDT,0x6131b5fae19ea4f9d964eac0408e4408b66337b5,2025-12-01 05:49:11+00:00,0x61c743d2727092a82054301dbd87c50f97ed8834d2deddf2fb473c71e87d14a5,3035082678,False,48561,9.9550959936018e-05,2000000000,exact,True,False
0x0007fcf5590179336c826a60c80976623c7bbc29,USDT,0x6a000f20005980200259b80c5102003040001068,2025-12-08 21:55:11+00:00,0x125991f87ce95d4583efec46840831a74342b85cd1f8707873c77923a3788f9d,5006471484,False,48525,0.00011102277132375,2000000000,exact,True,False
0x0007fcf5590179336c826a60c80976623c7bbc29,USDT,0x881d40237659c251811cec9c364ef91dc08d300c,2023-04-08 13:47:47+00:00,0x710682ecc3454fa16173c1d17026b25cf113beeb768c6e79091bd079a3654c6c,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,48897,0.000937582345969002,300000000,unlimited,True,True
0x0007fcf5590179336c826a60c80976623c7bbc29,USDT,0xbbbfd134e9b44bfb5123898ba36b01de7ab93d98,2025-08-13 09:57:11+00:00,0x2d34ab02413c49a179cfbed7279baee8d05d2ff18548ebefc86098da74021456,1611831663,False,48561,0.000136438742439858,2000000000,exact,True,False
0x000802c7fa4de57e6dc22d9ee4295147519c7486,USDC,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,2025-10-23 21:19:11+00:00,0xbe1269cf4c49a98fcdc275d65499004cc8f4dc683273bf1e7116e4a33276d648,16766325,False,55558,1.2154118257674e-05,79000000,exact,True,False
0x000802c7fa4de57e6dc22d9ee4295147519c7486,USDC,0x40aa958dd87fc8305b97f2ba922cddca374bcd7f,2025-10-25 11:00:35+00:00,0x80d1733eb01854660a0a607497b3cebc01969df6b37e49ac7cf2b20c72438f33,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,9.326409377394e-06,79000000,unlimited,True,True
