wallet,qualifying_txs,zero_prio_frac,active_days,active_months,supply_gas_eth,volume_usd,first_seen,last_seen,txs_per_active_day,approvals_in_window,approval_active_days,distinct_spenders,approval_gas_eth,pool_approvals,pool_approval_gas_eth,pool_approvals_prewindow,approvals_per_active_day,approval_to_action_all,approval_to_action_pool,is_bot_3sigma,private_orderflow,high_frequency,approval_spam,bot_signal_count,is_bot_behavioral,is_bot_approval_spam,is_bot
0x0002f41e6c99d9d09134979bae174a64ce499d85,3,0.0,3,1,0.00018366166210249298,418778.808598,2025-11-07 08:07:35+00:00,2025-11-30 02:08:47+00:00,1.0,6.0,3.0,2.0,0.000570717831116345,2.0,3.9945797531653e-05,0.0,2.0,2.0,0.6666666666666666,False,False,False,False,0,False,False,False
0x00066f073df981ca8d8592041fe784392458c610,1,0.0,1,1,0.00044016609807992,12.0,2026-02-18 10:58:47+00:00,2026-02-18 10:58:47+00:00,1.0,1.0,1.0,1.0,0.000103969680563115,1.0,0.000103969680563115,0.0,1.0,1.0,1.0,False,False,False,False,0,False,False,False
0x00090c02a44b4b7742505d95b0c1b7c77c31c602,2,0.0,1,1,0.0006333393382927681,2.229537,2025-11-08 17:22:11+00:00,2025-11-08 17:32:59+00:00,2.0,1.0,1.0,1.0,8.9447695475238e-05,1.0,8.9447695475238e-05,0.0,1.0,0.5,0.5,False,False,False,False,0,False,False,False
0x0011eaa39468412f260c45397a30790e42260ded,1,0.0,1,1,0.000193263660919795,90000.0,2025-12-09 04:57:47+00:00,2025-12-09 04:57:47+00:00,1.0,2.0,2.0,2.0,2.6629755199047e-05,1.0,2.2915019326041e-05,0.0,1.0,2.0,1.0,False,False,False,False,0,False,False,False
0x0012389d4b1f93f5fc6eff53216afc73ff0b3dd9,1,0.0,1,1,0.00021399729522756,10000.0,2025-11-07 10:01:11+00:00,2025-11-07 10:01:11+00:00,1.0,16.0,11.0,6.0,0.000461826789628856,1.0,1.8772837836696e-05,1.0,1.4545454545454546,16.0,1.0,False,False,False,False,0,False,False,False
0x0015d0931df217d0de2920505c2a816f28aab570,2,0.0,2,2,8.055465542107301e-05,24999997.6001,2025-11-14 06:43:35+00:00,2025-12-23 15:20:35+00:00,1.0,1.0,1.0,1.0,1.29086955369e-06,0.0,0.0,1.0,1.0,0.5,0.0,False,False,False,False,0,False,False,False
0x0017b3f7a0e201bee0d823249102e38cccce75dd,1,0.0,1,1,1.3567969926315e-05,10635.271738,2026-01-20 21:04:35+00:00,2026-01-20 21:04:35+00:00,1.0,1.0,1.0,1.0,1.3567969926315e-05,1.0,1.3567969926315e-05,0.0,1.0,1.0,1.0,False,False,False,False,0,False,False,False
0x00195cbb8c9fccc42354c807f4964ac40dba8797,2,0.0,2,1,0.00065005182350252,52.866426,2025-12-02 15:22:59+00:00,2025-12-22 13:16:47+00:00,1.0,4.0,3.0,4.0,0.000599017134266784,1.0,0.000151347685209363,0.0,1.3333333333333333,2.0,0.5,False,False,False,False,0,False,False,False
0x001c44b6096ac88a030e44c1ec5d81971eb00c79,3,0.0,2,1,0.001217488519470184,784880.0,2025-11-10 22:13:23+00:00,2025-11-12 13:27:11+00:00,1.5,3.0,2.0,3.0,0.000230704362239646,1.0,0.000115661832161823,0.0,1.5,1.0,0.3333333333333333,False,False,False,False,0,False,False,False
0x001d31846d08c23177011c6a523ed5b75823533e,1,0.0,1,1,8.4326880903446e-05,50000.0,2025-11-05 11:32:35+00:00,2025-11-05 11:32:35+00:00,1.0,73.0,20.0,15.0,0.003798484724857393,3.0,4.2114618480978004e-05,0.0,3.65,73.0,3.0,False,False,False,False,0,False,False,False
0x001e895e13a196959641a05ccda3349d661805c6,1,0.0,1,1,0.00093278795473045,666.095764,2026-02-05 22:20:59+00:00,2026-02-05 22:20:59+00:00,1.0,1.0,1.0,1.0,1.0936375103056e-05,0.0,0.0,2.0,1.0,1.0,0.0,False,False,False,False,0,False,False,False
0x001eda0a22359dde445ef962490e9535f6dc5ef5,1,0.0,1,1,1.134793723312e-05,5887.383717,2025-12-21 13:38:35+00:00,2025-12-21 13:38:35+00:00,1.0,4.0,4.0,4.0,6.530826275646e-05,1.0,1.134793723312e-05,0.0,1.0,4.0,1.0,False,False,False,False,0,False,False,False
0x001fd9833769ad66accf63ff844ad63315218888,1,0.0,1,1,6.9566330722953e-05,11709815.549223,2026-02-07 02:52:47+00:00,2026-02-07 02:52:47+00:00,1.0,1.0,1.0,1.0,6.9566330722953e-05,1.0,6.9566330722953e-05,0.0,1.0,1.0,1.0,False,False,False,False,0,False,False,False
0x001fd99044af0e172b2528bd3267eda0e98143fe,5,0.0,5,2,8.0073498608364e-05,1140.972147,2025-12-21 11:50:35+00:00,2026-01-23 19:35:35+00:00,1.0,21.0,16.0,5.0,0.000334525754626886,5.0,6.9434246944664e-05,1.0,1.3125,4.2,1.0,False,False,False,False,0,False,False,False
0x00260646e5cbfe4f3a709c6687ba61eaeb977272,4,0.0,4,2,0.00117686341222517,1534174.080957,2025-11-02 17:47:35+00:00,2025-12-31 17:29:23+00:00,1.0,2.0,2.0,2.0,0.000317778356794388,1.0,0.000106471258392798,0.0,1.0,0.5,0.25,False,False,False,False,0,False,False,False
0x0027ba96923287fded4859e84ed60451f0daf39a,1,0.0,1,1,0.00041220477408964,1.105424,2025-11-16 12:52:23+00:00,2025-11-16 12:52:23+00:00,1.0,12.0,11.0,3.0,0.001485459848688888,2.0,0.000239135721453242,0.0,1.0909090909090908,12.0,2.0,False,False,False,False,0,False,False,False
0x002ac870cfa935f1524d2ef4b5a37b296979ff9f,1,0.0,1,1,9.5915087199202e-05,73.393683,2025-12-17 15:25:47+00:00,2025-12-17 15:25:47+00:00,1.0,5.0,3.0,3.0,0.00059431201646675,1.0,0.00015406041507392,0.0,1.6666666666666667,5.0,1.0,False,False,False,False,0,False,False,False
