wallet,sushi_grants,uniswap_grants,sushi_unlimited_grants,uniswap_unlimited_grants,sushi_ever_unlimited,uniswap_ever_unlimited,is_bot
0x34788869704b6de6e7092a8c5b3ec6c68f393678,4,6,2,6,True,True,False
0x34d1a5fbe872bc114466fbefc936730ed63ca2cd,8,6,0,1,False,True,False
0x34ecc8c27089f5e70c1948e054cc029c63802398,3,4,3,4,True,True,False
0x355e5ab1780ba3d88ef8feed0b29cb0d825a49a4,3,1,1,1,True,True,False
0x35dbbecd845bd33e934b4049a9e252c1aba9b8df,2,3,0,2,False,True,False
0x35e24da8a4e0cef4b3af70a566de32bb6231a986,1,1,1,1,True,True,False
0x361cc5707bdaa50841bdf43c9c02d5aefc7ba3bb,3,2,0,2,False,True,False
0x36bcad3a6e12c5fd5371853e861ffd044f835adf,2,2,0,0,False,False,False
0x36d0c40f0f7620fba26bf21f2e6d2511c039b7c8,5,6,5,6,True,True,False
0x372c61c371213fe63c875d7e56760d1c343e5b2c,4,35,1,2,True,True,False
0x373b574eca4bc0d5d0f5cde86ae16be5442b1418,3,6,3,6,True,True,False
0x378b4ea5725a9f4625cf36992f40ad1dbf4d00aa,2,5,0,0,False,False,False
0x3837e147cc256bbe5decc1f7cbfb6d45788f1ac2,3,5,3,5,True,True,False
0x385678c7a6dac8d20232790d5438a6c751a3a318,21,1,0,1,False,True,False
0x38af901346e4621bcbaa592c8dbfec6dd9c2b1aa,2,2,0,1,False,True,False
0x397d476371ba5ba9a8b54d5799f8aff9ab91a81d,3,2,0,2,False,True,False
0x39adf7d3a92790df8beeb865198cf3fca71f7a7e,3,6,3,6,True,True,False
0x39f8b850be00d24bba6b301c5960571a7990465f,3,5,3,5,True,True,False
0x3a1fa3af7d5379f3d63c7bf1c7b651bacc0557ee,2,6,2,6,True,True,False
0x3a4825a0c8c2a16682e02b9b951780755e4461dc,7,2,0,2,False,True,False
0x3a9069cfd1ce555404a82a9b8f734cb8fd19632b,6,39,0,2,False,True,False
0x3abd7f5a228e882cf83b9b05e0646984cbc1bb77,4,5,0,2,False,True,False
0x3acd63bc5f2a2e4623ae8cc8ce33a766c86290bb,2,1,1,1,True,True,False
0x3b5e6596b263041a8679d6d9a7e411029f107dfa,2,9,2,9,True,True,False
0x3bcd056e1d4afe7be3cef0add43519f1590db897,1,1,0,1,False,True,False
0x3bda897e31e901cc2b855aa31ce8051edfc3f93d,5,4,5,4,True,True,False
0x3c5e157cbcebaea9dac758e60316dcb68b16d063,43,3,0,3,False,True,False
0x3c67a631e2a969013579dbbb46a705d61d844351,3,6,3,6,True,True,False
0x3c94a7059fe7c232f7b769dfdb01dcb9cac7d316,4,1,0,1,False,True,False
0x3cf468ad4eca06dcf65ca1a39480165260fbd597,4,5,4,5,True,True,False
0x3cfb99d02dd0bf7185a0dcb488d1e6833d69e9cf,1,4,0,2,False,True,False
0x3d08ab4c907e0cbce56a3d55c9024a0769c86ba7,39,1,0,1,False,True,False
0x3d182d5f5b1629ea443169b60558b1ba24befdec,6,1,0,1,False,True,False
0x3d1e117863c882a1736c8036fb536e3d69198942,7,2,0,2,False,True,False
0x3d727bb4ecb776eef556feb5e08739d4ff5ff851,1,1,1,1,True,True,False
0x3d8b6c5cd80cce437725e3b8a5c49b36c57d8046,3,5,3,5,True,True,False
0x3dae9de84e533b11e9b5a015db2e4ca3f6b9bd30,1,1,0,0,False,False,False
0x3e91850447bf79b633e7ff6c5567e204a5cf409a,15,6,0,0,False,False,False
0x3ede5621213f4766a0f1748abe53a41d778c16f2,1,1,0,1,False,True,False
0x3ef995c3cf3feb5dc19aaefcca41b21b5107aacd,2,2,0,2,False,True,False
0x3f17f06cf72c8e79af74836823bf3a6c0fffb4b0,3,3,3,3,True,True,False
0x3f3d101f090a9212261a82181701bf03adfde847,3,6,3,6,True,True,False
0x3f525efb65e50c98906889e7ba4092e088d20dd0,5,6,3,6,True,True,False
0x3ff7e56ba93d03a9614501763c1486c1951bc953,3,5,3,5,True,True,False
0x402b8bb4f40499882669472c8c2a8709bd0da061,7,1,0,1,False,True,False
0x40ae5e9f15ef8a3b935d74fa4c7926eca9939106,3,6,3,6,True,True,False
0x40f68e41a1fffff2b010c5517e8572d2ba2b39d0,20,1,0,1,False,True,False
0x4107c742ceec1e142630524dccfb854be43c137f,8,3,0,3,False,True,False
0x413943584167951f871220e2dccb6b8bb6078c7b,5,5,3,5,True,True,False
0x417fd326eeec88294fd8838c122e0fe83c20a72f,2,2,0,2,False,True,False
0x41bfadae4cc3ad37bb55fecb1ef5a013e5756188,3,5,3,5,True,True,False
0x41f8524453e570e8a67a345006181f967412616c,1,1,1,1,True,True,False
0x428db87818a783ede47a2b90e72d7380e5c2e73b,1,3,0,3,False,True,False
0x429955635c4e0cf6c65d453f8c1d5e5ad0e1a0ee,3,6,3,6,True,True,False
0x43087d8bd84f6688f1d054e5aba6a8abd7b81cc3,1,1,0,1,False,True,False
0x43424e49587aae46066cbc857128b7f5b2138342,1,5,0,1,False,True,False
0x43ae4401a02333cca66bdc85f534c99ce74e6197,4,1,0,1,False,True,False
0x44306c23fc2ea97da18c349042dc62f504923a63,11,6,0,2,False,True,False
0x446f22a9dcec483beaebde4b0aaa2be24fb28fb6,4,6,4,6,True,True,False
0x4474a7addeda0e07548698ba806f37791b8791f0,4,14,0,4,False,True,False
0x448639aed2df392bbfb6ff184fe25776a43f3d3d,1,,0,,False,,False
0x44e6324aa2a55464e615298f9a752d2c739673d0,2,2,1,2,True,True,False
0x44eba6124976bfdd39f30fcbd601829e484579f5,3,4,3,4,True,True,False
0x44f5c4f7b152ec27d91bfd5856efd76804b3090a,6,2,0,1,False,True,False
0x44ff7988a17b8bd26c9e26b4f874ee2570647c92,3,6,3,6,True,True,False
0x450547e0cc688bdab327420d4eba0ad7ea101589,3,5,3,5,True,True,False
0x453030566c06fe8ef7cd4aa5f0bd5d163cb43e9b,4,7,4,7,True,True,False
0x45a060e66cd061bd3217ac292ec270b352564bf4,5,5,5,5,True,True,False
0x45a22630464d2d3ec1e0f2427f1af8ed5a0cc33e,2,9,0,1,False,True,False
0x460cb3253ee95e7faa093dbfbfd5bb1e12f8862b,2,5,0,4,False,True,False
0x46979c518c85230efdef1cb9c19df595d03daa97,3,5,2,5,True,True,False
0x469dbe959122c5405b10aebd0f6233a06f132465,1,2,0,2,False,True,False
0x46b86029c92d657f21a3184f824228782005e954,2,1,0,1,False,True,False
0x46f2ddf1241729af7648da98e47891bb9fbe54e4,3,5,0,2,False,True,False
0x47296fcbe2b0230a728744424ed21ce99fe24f22,2,4,0,0,False,False,False
0x4740cc758ca1bc5bedf74668706217b37bf7f254,7,1,0,1,False,True,False
0x476119758fb93bfd1537672aa61ee367caa4a89c,1,2,0,2,False,True,False
0x47abc05a423fd321d604fc21b550abc60f11626e,1,3,0,3,False,True,False
0x47cddfbc26da2df3b10f360b32c52a33e309023d,13,2,0,0,False,False,False
0x48261dc793d5cb55194efcce5954bf62d0308a15,3,4,1,4,True,True,False
0x482c45fc3bf307c27991cb28c1109ffb3c6241f5,1,32,0,1,False,True,False
0x487a1c278002d56ed3659cd26a132145c77d5273,2,6,2,6,True,True,False
0x4886e629f9dbb25a251bef39e0013a049e101b71,3,6,3,6,True,True,False
0x48a4efe011c8e874e3cbeac23bb6325dee29f727,2,3,0,3,False,True,False
0x491848acf530cd423a3efaf5fc7fb7ca49987ca9,35,3,0,3,False,True,False
0x49799d61e19ac80781087374b93077b7a75cb6ba,3,5,3,5,True,True,False
0x4a198672b29785fa21194190171e7c5c3a317205,3,7,3,7,True,True,False
0x4a3fe892ce67bec61da5918e7007679add6c19c3,4,4,2,4,True,True,False
0x4a5d723932ed17fa9d7c1b1ab0c549b2bea5341d,4,5,4,5,True,True,False
